ID,Author,Img
0,William Shakespeare,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Shakespeare.jpg/800px-Shakespeare.jpg
1,Ernest Hemingway,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/ErnestHemingway.jpg/800px-ErnestHemingway.jpg
2,Charles Dickens,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Dickens_Gurney_head.jpg/800px-Dickens_Gurney_head.jpg
3,Mark Twain,https://upload.wikimedia.org/wikipedia/commons/0/0c/Mark_Twain_by_AF_Bradley.jpg
4,J. K. Rowling,https://www.gstatic.com/tv/thumb/persons/174909/174909_v9_bb.jpg
5,Agatha Christie,https://thumbs-prod.si-cdn.com/GoNIloXDnA08KUmEWwq6rO3m1dA=/fit-in/1600x0/https://public-media.si-cdn.com/filer/d9/0b/d90bf364-82dd-468d-be3b-db61879d27be/agatha.png
6,George Orwell,https://upload.wikimedia.org/wikipedia/commons/7/7e/George_Orwell_press_photo.jpg
7,Isaac Asimov,https://upload.wikimedia.org/wikipedia/commons/3/34/Isaac.Asimov01.jpg
8,Rene Descartes,https://t3.gstatic.com/images?q=tbn:ANd9GcQfv7eVhWk4Q4YLxcpheXgn6OCjIUw_dNWkXjmhXGJ_ehV0ds--rYzPfteMOs1c
9,Adam Smith,https://upload.wikimedia.org/wikipedia/commons/4/43/Adam_Smith_The_Muir_portrait.jpg
10,Karl Marx,https://upload.wikimedia.org/wikipedia/commons/f/fc/Karl_Marx.jpg
11,Franz Kafka,https://t0.gstatic.com/images?q=tbn:ANd9GcS2uItJznTBQPhvzpLfHZhkqciYZAMdmtiXtHUHimna3RV9ZDh7UuK5KgnYcCnu
12,Kurt Vonnegut,https://upload.wikimedia.org/wikipedia/commons/5/5e/Kurt_Vonnegut_1972.jpg
13,Virginia Woolf,https://t2.gstatic.com/images?q=tbn:ANd9GcSbH6fMpamySFKeF3MCwrFKFpfzUJlvgbgiFQscYCs_RbzIrkp9h0M5vvI0iu9a
14,William Faulkner,https://www.gstatic.com/tv/thumb/persons/69770/69770_v9_ba.jpg
15,Herman Melville,https://www.masslive.com/resizer/gwJShI2H7Vywkt9JSMGIwvLIBxg=/450x0/smart/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/QQGQZHJ7Z5HSTKLNCPZFWHWVYI.jpg
16,Jack London,https://upload.wikimedia.org/wikipedia/commons/2/2d/Jack_London_young.jpg
